"Player","Pos","Season","Age","Tm","P2Per","P3Per","FTPer","effMin","eff3PA","eff2PA","effFTA","effORB","effDRB","effTRB","effAST","effSTL","effBLK","effTOV","effPF","effPTS","x","y"
"John Salmons","SG","2006-2007",27,"SAC",0.484,0.357,0.779,0.542428861788618,0.0524590163934426,0.189695550351288,0.0955503512880562,0.0220140515222482,0.101639344262295,0.123653395784543,0.118969555035129,0.034192037470726,0.0126463700234192,0.0557377049180328,0.082903981264637,0.314285714285714,1.60626154998855,-10.1612480406715
"Brian Scalabrine","PF","2006-2007",28,"BOS",0.407,0.4,0.783,0.260924796747967,0.107108081791626,0.0788704965920156,0.0223953261927945,0.0233690360272639,0.0788704965920156,0.102239532619279,0.0574488802336904,0.0223953261927945,0.0175267770204479,0.0428432327166504,0.126582278481013,0.210321324245375,29.1440046456395,-1.32693863870783
"Thabo Sefolosha","SG","2006-2007",22,"CHI",0.439,0.357,0.511,0.220528455284553,0.0483870967741935,0.246543778801843,0.0518433179723502,0.0403225806451613,0.135944700460829,0.176267281105991,0.0691244239631336,0.0380184331797235,0.0126728110599078,0.0691244239631336,0.115207373271889,0.294930875576037,-7.14229118785655,-12.1545912682516
"Brian Skinner","PF","2006-2007",30,"MIL",0.49,0,0.582,0.386941056910569,0,0.166119500984898,0.0518713066316481,0.0695994747209455,0.183191070256074,0.252790544977019,0.0380827314510834,0.0118187787261983,0.0420223243598161,0.0492449113591596,0.128036769533815,0.193040052527905,-12.7505634724826,9.42573471914481
"Craig Smith","PF","2006-2007",23,"MIN",0.538,0,0.624,0.390497967479675,0.00390370852309694,0.29733246584255,0.121014964216005,0.0969420949902407,0.173715029277814,0.270657124268055,0.0318802862719584,0.033181522446324,0.0117111255692908,0.048145738451529,0.14508783344177,0.395575797007157,-18.6232112513098,15.3478632086838
"J.R. Smith","SG","2006-2007",21,"DEN",0.515,0.39,0.81,0.373729674796748,0.259687287559483,0.178110129163834,0.0856560163154317,0.0203942895989123,0.0768184908225697,0.097212780421482,0.061862678450034,0.0333106730115568,0.00611828687967369,0.0577838205302515,0.0999320190346703,0.556764106050306,24.5560479916692,-3.77577351757127
"Joe Smith","PF","2006-2007",31,"TOT",0.453,0,0.845,0.381859756097561,0.00332667997338656,0.314038589487691,0.0984697272122422,0.0798403193612774,0.186294078509647,0.266134397870925,0.0326014637391883,0.0246174318030605,0.0179640718562874,0.0505655355954757,0.0984697272122422,0.367930805056554,-10.8092963974649,16.7063491127396
"Josh Smith","SF","2006-2007",21,"ATL",0.473,0.25,0.693,0.672510162601626,0.0574234982999622,0.317718171514923,0.146203248961088,0.0623347185493011,0.172270494899887,0.234605213449188,0.0891575368341519,0.0381564034756328,0.0782017378163959,0.0857574612769173,0.0910464676992822,0.445032111824707,-28.809676059567,-7.30525932919843
"Eric Snow","PG","2006-2007",33,"CLE",0.422,0,0.637,0.490091463414634,0.00207361327112494,0.165889061689995,0.0585795749092794,0.0181441161223432,0.0793157076205288,0.097459823742872,0.171073094867807,0.0285121824779679,0.00829445308449974,0.057542768273717,0.0959046137895282,0.177293934681182,-2.65548969484996,-24.9569861396051
"Darius Songaila","PF","2006-2007",28,"WAS",0.529,0,0.852,0.177845528455285,0.00285714285714286,0.318571428571429,0.0771428571428571,0.0628571428571429,0.128571428571429,0.191428571428571,0.0542857142857143,0.0242857142857143,0.0142857142857143,0.0614285714285714,0.15,0.402857142857143,-17.7295712336561,7.09672975338978
