"Rk","Player","Class","Season","Pos","School","Conf","G","MP","FG","FGA","2P","2PA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","PER","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","PProd","ORtg","DRtg","OWS","DWS","WS","OBPM","DBPM","BPM"
"875","Byron Hawkins","SO","2015-16","G","Towson","CAA","31","30.0","4.1","10.4","2.3","4.6","1.8","5.8","3.2","4.2","0.4","2.1","2.5","2.2","0.8","0.2","1.2","1.9","13.2","17.2",".532",".480","1.4","8.2","4.7","15.4","1.5","0.9","8.6","22.4","378","118.9","105.8","2.5","1.0","3.5","3.2","-2.4","0.8"
"876","DeAndre Haywood","JR","2015-16","G","Delaware State","MEAC","30","25.8","4.2","9.0","3.6","7.0","0.6","2.0","2.5","4.6","0.8","2.5","3.3","2.4","1.3","0.1","2.1","2.3","11.5","17.2",".514",".502","3.4","10.8","7.0","24.1","3.0","0.5","15.8","26.5","334","98.8","106.8","0.7","0.8","1.5","-1.0","-2.0","-3.0"
"877","Chris Kendrix","SO","2015-16","F","Missouri State","MVC","30","27.9","3.3","8.2","1.9","4.1","1.5","4.1","4.0","5.0","1.1","3.8","4.8","1.1","1.0","0.6","2.0","2.5","12.1","17.2",".573",".494","4.2","15.6","9.7","8.5","2.1","2.2","16.1","22.8","336","107.3","104.6","1.4","1.0","2.4","2.0","-0.2","1.8"
"878","Damon Lynn","JR","2015-16","G","NJIT","Ind","35","37.8","5.6","15.0","2.3","5.0","3.3","10.0","3.8","4.6","0.3","2.7","3.0","3.3","1.6","0.1","2.0","1.3","18.3","17.2",".535",".485","1.0","7.9","4.5","17.3","2.4","0.2","10.6","25.5","598","108.3","107.3","2.5","1.3","3.8","2.1","-2.3","-0.2"
"879","MiKyle McIntosh","SO","2015-16","F","Illinois State","MVC","31","24.0","3.7","8.5","2.6","5.7","1.1","2.8","2.5","3.8","1.9","2.9","4.8","1.8","0.6","0.6","2.2","3.5","10.9","17.2",".532",".496","8.8","13.8","11.3","17.2","1.6","2.8","17.8","26.6","338","102.3","98.6","1.0","1.3","2.3","2.0","1.8","3.8"
"880","Norense Odiase","SO","2015-16","C","Texas Tech","Big 12","20","19.0","3.6","7.0","3.6","7.0","0.0","0.1","1.3","2.0","1.6","2.6","4.2","1.0","0.3","0.7","1.7","2.9","8.5","17.2",".531",".514","10.5","15.8","13.3","12.0","0.9","4.2","17.6","26.5","162","99.8","105.0","0.4","0.4","0.8","-0.1","2.1","2.0"
"881","Tate Stensgaard","SR","2015-16","F","Western Illinois","Summit","25","23.8","3.4","5.6","3.4","5.6","0.0","0.0","1.9","2.8","1.8","3.6","5.4","0.8","0.3","0.6","1.3","3.4","8.6","17.2",".627",".604","8.8","16.9","12.9","6.9","0.8","2.5","15.7","17.7","211","117.4","105.1","1.3","0.7","2.0","-0.4","-0.5","-0.9"
"882","Tyler Streeter","FR","2015-16","G","Morgan State","MEAC","25","7.6","0.9","2.0","0.7","1.1","0.2","0.9","0.6","0.6","0.8","0.6","1.4","0.1","0.3","0.0","0.4","0.8","2.7","17.2",".590",".520","11.3","8.5","10.0","3.4","2.1","0.5","13.5","17.2","67","118.7","105.2","0.4","0.2","0.6","0.4","-2.3","-1.9"
"883","Brandon Swannegan","SR","2015-16","F","Tulsa","AAC","32","20.0","2.5","4.3","2.5","4.3","0.0","0.0","1.7","2.8","1.7","2.2","3.9","0.3","0.4","0.9","0.8","2.4","6.6","17.2",".595",".581","9.6","12.3","10.9","2.4","1.3","5.3","11.9","16.1","207","118.8","101.9","1.3","0.9","2.3","0.6","3.1","3.7"
"884","Jordan Swopshire","SO","2015-16","F","Colgate","Patriot","30","25.3","3.4","7.5","1.3","2.7","2.1","4.8","1.7","2.2","0.9","3.8","4.7","1.0","0.4","0.2","1.7","1.8","10.6","17.2",".625",".600","4.2","18.7","11.3","8.0","0.9","1.0","16.6","21.7","282","111.5","109.3","1.5","0.6","2.1","1.2","-3.0","-1.8"
"885","Andre Walker","SO","2015-16","G","Loyola (MD)","Patriot","30","32.4","4.3","11.5","2.8","7.6","1.5","4.0","4.1","5.1","0.6","2.8","3.4","3.9","1.5","0.2","2.6","2.9","14.2","17.2",".509",".439","2.0","10.4","6.1","26.0","2.7","0.7","15.5","26.1","435","104.4","109.8","1.5","0.7","2.2","1.0","-1.9","-0.9"
"886","Dre Wills","JR","2015-16","G","Vermont","AEC","24","23.1","3.1","5.6","3.0","5.4","0.0","0.2","1.6","3.0","1.5","3.4","4.9","2.3","1.1","0.5","2.2","2.0","7.8","17.2",".556",".556","8.1","16.2","12.4","18.3","2.8","2.4","24.0","20.3","208","101.5","99.6","0.6","0.9","1.5","-0.7","2.2","1.5"
"887","Kori Babineaux","SR","2015-16","G","Jacksonville","A-Sun","32","35.9","8.0","17.2","7.8","16.1","0.3","1.0","2.2","3.5","0.7","4.2","4.8","3.8","1.0","0.2","2.8","2.3","18.6","17.1",".493",".476","2.0","12.6","7.2","23.9","1.5","0.5","13.0","29.2","585","99.6","107.4","1.3","1.1","2.4","-2.8","-2.1","-4.9"
"888","LaVell Boyd","JR","2015-16","G","Missouri-Kansas City","WAC","31","32.7","4.8","11.1","2.2","4.9","2.6","6.2","1.9","2.4","0.4","3.0","3.4","2.3","0.8","0.1","1.5","2.5","14.1","17.1",".577",".549","1.5","10.7","6.0","15.3","1.4","0.5","10.6","21.1","399","118.4","110.8","2.6","0.6","3.2","3.7","-2.6","1.1"
"889","Jalen Chapman","SR","2015-16","F","Western Illinois","Summit","27","17.5","2.9","5.7","2.9","5.7","0.0","0.0","1.6","2.6","1.0","2.4","3.5","0.5","0.9","0.7","1.1","3.0","7.3","17.1",".525",".497","6.9","15.6","11.4","6.0","2.8","4.4","14.1","24.0","185","99.9","99.6","0.4","0.8","1.2","-3.7","0.9","-2.8"
