"Pick","Team","Player","College","Season"
"11","WSB","Frank Johnson","Wake Forest University",1981
"12","DET","Kelly Tripucka","University of Notre Dame",1981
"13","UTA","Danny Schayes","Syracuse University",1981
"14","IND","Herb Williams","Ohio State University",1981
"15","POR","Jeff Lamp","University of Virginia",1981
"16","POR","Darnell Valentine","University of Kansas",1981
"17","KCK","Kevin Loder","Alabama State University",1981
"18","NJN","Ray Tolbert","Indiana University",1981
"19","LAL","Mike McGee","University of Michigan",1981
"20","PHO","Larry Nance","Clemson University",1981
"21","MIL","Alton Lister","Arizona State University",1981
"22","PHI","Franklin Edwards","Cleveland State University",1981
"23","BOS","Charles Bradley","University of Wyoming",1981
"24","DAL","Jay Vincent","Michigan State University",1981
"25","BOS","Tracy Jackson","University of Notre Dame",1981
"26","POR","Brian Jackson","Utah State University",1981
"27","UTA","Howard Wood","University of Tennessee",1981
"28","SAS","Gene Banks","Duke University",1981
"29","KCK","Eddie Johnson","University of Illinois at Urbana-Champaign",1981
"30","SAS","Ed Rains","University of South Alabama",1981
"31","BOS","Danny Ainge","Brigham Young University",1981
"32","CHI","Mike Olliver","Lamar University",1981
"33","GSW","Sam Williams","Arizona State University",1981
"34","DEN","Ken Green","University of Texas-Pan American",1981
"35","WSB","Charles Davis","Vanderbilt University",1981
"36","IND","Ray Blume","Oregon State University",1981
"37","IND","Al Leslie","Bucknell University",1981
"38","ATL","Clyde Bradshaw","DePaul University",1981
"39","LAL","Harvey Knuckles","University of Toledo",1981
"40","NYK","Greg Cook","Louisiana State University",1981
"41","WSB","Claude Gregory","University of Wisconsin",1981
"42","LAL","Elvis Rolle","Florida State University",1981
"43","DAL","Elston Turner","University of Mississippi",1981
"44","WSB","Steve Lingenfelter","South Dakota State University",1981
"45","HOU","Ed Turner","Texas A&M University-Kingsville",1981
"46","PHI","Vernon Smith","Texas A&M University",1981
"47","DAL","Art Housey","University of Kansas",1981
"48","WSB","Mike Ferrara","Colgate University",1981
"49","NJN","David Burns","Saint Louis University",1981
"50","POR","Derek Holcomb","University of Illinois at Urbana-Champaign",1981
"51","LAL","Zam Fredrick","University of South Carolina",1981
"52","ATL","Rudy Macklin","Louisiana State University",1981
"53","SEA","Mark Radford","Oregon State University",1981
"54","SDC","Jim Smith","Ohio State University",1981
"55","CLE","Mickey Dillard","Florida State University",1981
"56","GSW","Carlton Neverson","University of Pittsburgh",1981
"57","NYK","Frank Brickowski","Pennsylvania State University",1981
"58","KCK","Curtis Berry","University of Missouri",1981
"59","CLE","Russell Bowers","American University",1981
"60","IND","Purvis Miller","University of Southern California",1981
"61","POR","Petur Gudmundsson","University of Washington",1981
"62","PHO","Sam Clancy","University of Pittsburgh",1981
"63","NYK","Wayne McKoy","St. John's University",1981
"64","SAS","Tom Baker","Eastern Kentucky University",1981
"65","LAL","Ron Cornelius","University of the Pacific",1981
"66","PHO","Craig Dykema","California State University, Long Beach",1981
"67","MIL","Mark Smith","University of Illinois at Urbana-Champaign",1981
"68","PHI","Ernest Graham","University of Maryland",1981
"69","BOS","John Johnson","University of Michigan",1981
"70","DAL","Eddie Moss","Syracuse University",1981
"71","DET","John May","University of South Alabama",1981
"72","NJN","Edmund Sherod","Virginia Commonwealth University",1981
"73","UTA","George Torres","Southern Nazarene University",1981
"74","CLE","Ethan Martin","Louisiana State University",1981
"75","ATL","Kevin Figaro","University of Louisiana at Lafayette",1981
"76","GSW","Lewis Lloyd","Drake University",1981
"77","SDC","Lee Raker","University of Virginia",1981
"78","KCK","Kenny Dennard","Duke University",1981
"79","WSB","Ron Davis","University of Arizona",1981
"80","GSW","Terry Adolph","West Texas A&M University",1981
"81","HOU","Larry Spriggs","Howard University",1981
"82","KCK","B. B. Davis","Lamar University",1981
"83","IND","Rolando Frazier","Briar Cliff University",1981
"84","CHI","Oliver Lee","Marquette University",1981
"85","POR","Pete Verhoeven","California State University, Fresno",1981
"86","NYK","Alex Bradley","Villanova University",1981
"87","SAS","Earl Belcher","St. Bonaventure University",1981
"88","LAL","Kevin McKenna","Creighton University",1981
"89","DET","Don Koonce","University of North Carolina at Charlotte",1981
"90","MIL","Kris Anderson","Florida State University",1981
"91","BOS","Stanley Williams","La Salle University",1981
"92","PHI","Rynn Wright","Texas A&M University",1981
"93","DAL","Pete Budko","University of North Carolina",1981
"94","DET","George DeVone","University of North Carolina at Charlotte",1981
"95","NJN","Joe Cooper","University of Colorado",1981
"96","CLE","Ken Page","University of New Mexico",1981
"97","UTA","Mike Clark","University of Oregon",1981
"98","ATL","Steve Krafscisin","University of Iowa",1981
"99","SEA","Andra Griffin","University of Washington",1981
"100","SDC","Dennis Isbell","University of Memphis",1981
"101","DEN","Willie Sims","Louisiana State University",1981
"102","GSW","Hank McDowell","University of Memphis",1981
"103","WSB","Garry Witts","College of the Holy Cross",1981
"104","KCK","U. S. Reed","University of Arkansas",1981
"105","HOU","Hasan Houston","Bradley University",1981
"106","IND","George Peterson","New Jersey City University",1981
"107","POR","Herb Andrew","University of South Alabama",1981
"108","CHI","Johnny Nash","Arizona State University",1981
"109","NYK","Jim Wright","University of Rhode Island",1981
"110","SAS","Mike Rhodes","Vanderbilt University",1981
"111","LAL","Craig Watts","North Carolina State University",1981
"112","PHO","Paul Heuerman","University of Michigan",1981
"113","MIL","Kelvin Troy","Rutgers University",1981
"114","PHI","Steve Craig","Brigham Young University",1981
"115","BOS","Glen Grunwald","Indiana University",1981
"116","DAL","Karl Bakowski","University of Utah",1981
"117","DET","Vince Brookins","University of Iowa",1981
"118","NJN","Kevin Lynam","La Salle University",1981
"119","UTA","Kevin Sprewer","Loyola University of Chicago",1981
"120","CLE","Aaron Strayhorn","University of Hawaii",1981
"121","ATL","Darryl Warwick","Hampton University",1981
