"Player","Pos","Season","Age","Tm","effMin","eff3PA","eff3PM","eff2PA","eff2PM","effFTA","effFTM","effORB","effDRB","effAST","effSTL","effBLK","effTOV","effPF","effPTS","x","y"
"Boris Diaw","PF","2005-2006",23,"PHO",0.739583333333333,0.000137409824802473,0.0000343524562006183,0.00350395053246307,0.00185503263483339,0.000996221229817932,0.000721401580212985,0.000687049124012367,0.0016832703538303,0.00212985228443834,0.000240467193404328,0.000343524562006183,0.000790106492614222,0.00109927859841979,0.00456887667468224,39.701114156306,1.65735010923117
"Boris Diaw","PF","2006-2007",24,"PHO",0.647916666666667,0.000235275664653753,0.0000784252215512509,0.00282330797584503,0.00156850443102502,0.000627401772410007,0.00043133871853188,0.000470551329307505,0.00121559093404439,0.00188220531723002,0.000156850443102502,0.000196063053878127,0.000823464826288134,0.00094110265861501,0.00380362324523567,39.3587388861342,1.8014649984856
"Boris Diaw","PF","2007-2008",25,"PHO",0.585416666666667,0.000216995052512803,0.0000867980210051211,0.00321152677718948,0.00156236437809218,0.000694384168040969,0.000520788126030726,0.000520788126030726,0.00147556635708706,0.00169256140959986,0.000303793073517924,0.000216995052512803,0.00082458119954865,0.000867980210051211,0.00381911292422533,27.8553011602866,2.33748981030899
"Boris Diaw","PF","2008-2009",26,"TOT",0.708333333333333,0.00078909612625538,0.000322812051649928,0.00312051649928264,0.00164992826398852,0.000645624103299857,0.000430416068866571,0.000538020086083214,0.00139885222381636,0.00147058823529412,0.000286944045911047,0.000251076040172166,0.000968436154949785,0.000896700143472023,0.00473457675753228,28.890802698278,1.03659660622282
"Boris Diaw","PF","2009-2010",27,"CHA",0.7375,0.000861237425933581,0.000275595976298746,0.00237701529557668,0.0012746313903817,0.000620090946672179,0.000482292958522806,0.000551191952597492,0.00124018189334436,0.00137797988149373,0.000241146479261403,0.000241146479261403,0.000757888934821552,0.000930136420008268,0.00389279316521979,28.5105443100027,1.0480462180987
"Boris Diaw","PF","2010-2011",28,"CHA",0.70625,0.00100726670983524,0.000359738110655443,0.00241024534139147,0.00133103100942514,0.000539607165983164,0.000359738110655443,0.000467659543852076,0.00136700482049068,0.00147492625368732,0.000323764299589899,0.000215842866393266,0.000719476221310886,0.000827397654507519,0.0040650406504065,28.556491490264,1.0522033830644
"Boris Diaw","PF","2011-2012",29,"TOT",0.520833333333333,0.000829268292682927,0.00024390243902439,0.00214634146341463,0.00107317073170732,0.000292682926829268,0.000195121951219512,0.000585365853658537,0.00180487804878049,0.00175609756097561,0.000292682926829268,0.000195121951219512,0.000975609756097561,0.00107317073170732,0.0031219512195122,27.2301008867146,1.63784227533471
"Boris Diaw","PF","2012-2013",30,"SAS",0.475,0.000534873769790329,0.000213949507916132,0.00181857081728712,0.00106974753958066,0.000481386392811296,0.000320924261874198,0.000481386392811296,0.00133718442447582,0.00128369704749679,0.000374411638853231,0.000213949507916132,0.000588361146769362,0.00101626016260163,0.00310226786478391,17.7139213726089,2.95634959020847
"Boris Diaw","PF","2013-2014",31,"SAS",0.520833333333333,0.000682926829268293,0.000292682926829268,0.00287804878048781,0.00160975609756098,0.000585365853658537,0.000439024390243902,0.000439024390243902,0.0015609756097561,0.00136585365853659,0.000292682926829268,0.000195121951219512,0.000731707317073171,0.000878048780487805,0.0044390243902439,27.6370334565083,2.30504893589706
"Boris Diaw","PF","2014-2015",32,"SAS",0.510416666666667,0.00104529616724739,0.000348432055749129,0.00283723245395719,0.00144350423096068,0.000547536087605774,0.000447984071677452,0.000497760079641613,0.00164260826281732,0.00144350423096068,0.000199104031856645,0.000149328023892484,0.000796416127426581,0.000895968143354903,0.00433051269288203,27.5372896710828,2.20635400135385
